ID,Book,Qualitative Grade Level,Excerpt
Q21,Les Miserables,11,"This man was composed of two very simple and two very good sentiments, comparatively; but he rendered them almost bad, by dint of exaggerating them,—respect for authority, hatred of rebellion; and in his eyes, murder, robbery, all crimes, are only forms of rebellion. He enveloped in a blind and profound faith every one who had a function in the state, from the prime minister to the rural policeman. He covered with scorn, aversion, and disgust every one who had once crossed the legal threshold of evil. He was absolute, and admitted no exceptions. On the one hand, he said, “The functionary can make no mistake; the magistrate is never the wrong.” On the other hand, he said, “These men are irremediably lost. Nothing good can come from them.” He fully shared the opinion of those extreme minds which attribute to human law I know not what power of making, or, if the reader will have it so, of authenticating, demons, and who place a Styx at the base of society. He was stoical, serious, austere; a melancholy dreamer, humble and haughty, like fanatics. His glance was like a gimlet, cold and piercing. His whole life hung on these two words: watchfulness and supervision. He had introduced a straight line into what is the most crooked thing in the world; he possessed the conscience of his usefulness, the religion of his functions, and he was a spy as other men are priests. Woe to the man who fell into his hands! He would have arrested his own father, if the latter had escaped from the galleys, and would have denounced his mother, if she had broken her ban. And he would have done it with that sort of inward satisfaction which is conferred by virtue. And, withal, a life of privation, isolation, abnegation, chastity, with never a diversion. It was implacable duty; the police understood, as the Spartans understood Sparta, a pitiless lying in wait, a ferocious honesty, a marble informer, Brutus in Vidocq."
Q22,Les Miserables,11,“Oh! this one is a clear case also. It is about a sort of blackguard; a man arrested for a second offence; a convict who has been guilty of theft. I don’t know his name exactly. There’s a bandit’s phiz for you! I’d send him to the galleys on the strength of his face alone.”
Q23,Les Miserables,11,"The half-hour after midnight had just struck when M. Madeleine quitted the Hall of Assizes in Arras. He regained his inn just in time to set out again by the mail-wagon, in which he had engaged his place. A little before six o’clock in the morning he had arrived at M. sur M., and his first care had been to post a letter to M. Laffitte, then to enter the infirmary and see Fantine."
Q24,Les Miserables,11,"At daybreak, just as he was falling into a doze through fatigue, he was awakened by the creaking of a door which opened on some attic at the end of the corridor, then he heard the same masculine footstep which had ascended the stairs on the preceding evening. The step was approaching. He sprang off the bed and applied his eye to the keyhole, which was tolerably large, hoping to see the person who had made his way by night into the house and had listened at his door, as he passed. It was a man, in fact, who passed, this time without pausing, in front of Jean Valjean’s chamber. The corridor was too dark to allow of the person’s face being distinguished; but when the man reached the staircase, a ray of light from without made it stand out like a silhouette, and Jean Valjean had a complete view of his back. The man was of lofty stature, clad in a long frock-coat, with a cudgel under his arm. The formidable neck and shoulders belonged to Javert."
Q25,Les Miserables,11,"About six o’clock in the evening, the Passage du Saumon became the field of battle. The uprising was at one end, the troops were at the other. They fired from one gate to the other. An observer, a dreamer, the author of this book, who had gone to get a near view of this volcano, found himself in the passage between the two fires. All that he had to protect him from the bullets was the swell of the two half-columns which separate the shops; he remained in this delicate situation for nearly half an hour."
Q26,Guardians of Ga'Hoole b4,4,"The Brown Fish Owl stepped farther out on the sycamore branch that extended over the lake. If this were not a Fish Owl, it would need rescuing. Most species of owls, save for Fish Owls and Eagle Owls, were completely helpless in the water. The Brown Fish Owl began to spread his wings and was ready to flap them quickly for a power takeoff. Within the sliver of a second before he heard the splash, he was off."
Q27,Guardians of Ga'Hoole b4,4,"Digger blinked and then in that slow way he had of speaking when he was considering a problem, he said, “Yes, I think it’s awful when they keep knowledge from young owls. Just suppose that Otulissa had not been permitted to read that book about the Devil’s Triangle. We might never have been able to free Ezylryb.”"
Q28,Guardians of Ga'Hoole b4,4,"Ruby looked enviously at her hollowmates, another Short-eared and a Great Horned Owl, as they snoozed, their sleep smooth as summer air, undisturbed by any thoughts of wing pluckings or moon scaldings. In her head she kept repeating the saga of the famous collier from ancient times. The words that opened this story of the Fire Cycle sang softly in her head."
Q29,Guardians of Ga'Hoole b6,4,"Suddenly, from behind a fir tree, a small wolf pup scampered out. The pup could not have been more than six moons old. It looked plump, and Sveep realized for the first time that she was hungry. Of course, it wouldn’t do to eat a wolf pup. But she wondered now what she would do for food. She was far from the sea. The salt tang had faded and with it her customary food choices—fish, the occasional seal, otter. All the delicious choices of the Northern Kingdoms. What in the name of Ursa did one eat around here? Trees? She plodded on, hoping the pup would keep its distance. She didn’t want to deal with the temptation. It was a curious little critter, all fluff, and yapping now."
Q30,Guardians of Ga'Hoole b6,4,"The canyon was, however, also known to be a passageway in ancient times, a shortcut for hagsfiends, who were said to have a refuge on the other side of the promontory, far from salt water. Hagsfiends liked to be as far from the ocean as possible. They feared salt water, for it destroyed their oil-less feathers, and, when drenched in briny water, they nearly always drowned instantly. They would rush through this narrow watery channel to get to dry land, hardly ever slowing to explore the tangled passageways of the cliffs."
Q31,Romeo and Juliet,9,"Two households, both alike in dignity, In fair Verona, where we lay our scene, From ancient grudge break to new mutiny, Where civil blood makes civil hands unclean. From forth the fatal loins of these two foes A pair of star-cross’d lovers take their life; Whose misadventur’d piteous overthrows Doth with their death bury their parents’ strife. The fearful passage of their death-mark’d love, And the continuance of their parents’ rage, Which, but their children’s end, nought could remove, Is now the two hours’ traffic of our stage; The which, if you with patient ears attend, What here shall miss, our toil shall strive to mend."
Q32,Romeo and Juliet,9,"Madam, an hour before the worshipp’d sun Peer’d forth the golden window of the east, A troubled mind drave me to walk abroad, Where underneath the grove of sycamore That westward rooteth from this city side, So early walking did I see your son. Towards him I made, but he was ware of me, And stole into the covert of the wood. I, measuring his affections by my own, Which then most sought where most might not be found, Being one too many by my weary self, Pursu’d my humour, not pursuing his, And gladly shunn’d who gladly fled from me."
Q33,Romeo and Juliet,9,"Content thee, gentle coz, let him alone, A bears him like a portly gentleman; And, to say truth, Verona brags of him To be a virtuous and well-govern’d youth. I would not for the wealth of all the town Here in my house do him disparagement. Therefore be patient, take no note of him, It is my will; the which if thou respect, Show a fair presence and put off these frowns, An ill-beseeming semblance for a feast."
Q34,Romeo and Juliet,9,"Gallop apace, you fiery-footed steeds, Towards Phoebus’ lodging. Such a waggoner As Phaeton would whip you to the west And bring in cloudy night immediately. Spread thy close curtain, love-performing night, That runaway’s eyes may wink, and Romeo Leap to these arms, untalk’d of and unseen. Lovers can see to do their amorous rites By their own beauties: or, if love be blind, It best agrees with night. Come, civil night, Thou sober-suited matron, all in black, And learn me how to lose a winning match, Play’d for a pair of stainless maidenhoods. Hood my unmann’d blood, bating in my cheeks, With thy black mantle, till strange love, grow bold, Think true love acted simple modesty. Come, night, come Romeo; come, thou day in night; For thou wilt lie upon the wings of night Whiter than new snow upon a raven’s back. Come gentle night, come loving black-brow’d night, Give me my Romeo, and when I shall die, Take him and cut him out in little stars, And he will make the face of heaven so fine That all the world will be in love with night, And pay no worship to the garish sun. O, I have bought the mansion of a love, But not possess’d it; and though I am sold, Not yet enjoy’d. So tedious is this day As is the night before some festival To an impatient child that hath new robes And may not wear them. O, here comes my Nurse, And she brings news, and every tongue that speaks But Romeo’s name speaks heavenly eloquence."
Q35,Romeo and Juliet,9,"If I may trust the flattering eye of sleep, My dreams presage some joyful news at hand. My bosom’s lord sits lightly in his throne; And all this day an unaccustom’d spirit Lifts me above the ground with cheerful thoughts. I dreamt my lady came and found me dead,— Strange dream, that gives a dead man leave to think!— And breath’d such life with kisses in my lips, That I reviv’d, and was an emperor. Ah me, how sweet is love itself possess’d, When but love’s shadows are so rich in joy."
Q36,Hamlet,12,"Good now, sit down, and tell me, he that knows, Why this same strict and most observant watch So nightly toils the subject of the land, And why such daily cast of brazen cannon And foreign mart for implements of war; Why such impress of shipwrights, whose sore task Does not divide the Sunday from the week. What might be toward, that this sweaty haste Doth make the night joint-labourer with the day: Who is’t that can inform me?"
Q37,Hamlet,12,"At ‘closes in the consequence’ ay, marry! He closes with you thus: ‘I know the gentleman, I saw him yesterday, or t’other day, Or then, or then, with such and such; and, as you say, There was he gaming, there o’ertook in’s rouse, There falling out at tennis’: or perchance, ‘I saw him enter such a house of sale’— _Videlicet_, a brothel, or so forth. See you now; Your bait of falsehood takes this carp of truth; And thus do we of wisdom and of reach, With windlasses, and with assays of bias, By indirections find directions out. So by my former lecture and advice Shall you my son. You have me, have you not?"
Q38,Hamlet,12,"The single and peculiar life is bound With all the strength and armour of the mind, To keep itself from ’noyance; but much more That spirit upon whose weal depend and rest The lives of many. The cease of majesty Dies not alone; but like a gulf doth draw What’s near it with it. It is a massy wheel Fix’d on the summit of the highest mount, To whose huge spokes ten thousand lesser things Are mortis’d and adjoin’d; which when it falls, Each small annexment, petty consequence, Attends the boist’rous ruin. Never alone Did the King sigh, but with a general groan."
Q39,Hamlet,12,"O, for two special reasons, Which may to you, perhaps, seem much unsinew’d, But yet to me they are strong. The Queen his mother Lives almost by his looks; and for myself,— My virtue or my plague, be it either which,— She’s so conjunctive to my life and soul, That, as the star moves not but in his sphere, I could not but by her. The other motive, Why to a public count I might not go, Is the great love the general gender bear him, Who, dipping all his faults in their affection, Would like the spring that turneth wood to stone, Convert his gyves to graces; so that my arrows, Too slightly timber’d for so loud a wind, Would have reverted to my bow again, And not where I had aim’d them."
Q40,Hamlet,12,"Does it not, thinks’t thee, stand me now upon,— He that hath kill’d my king, and whor’d my mother, Popp’d in between th’election and my hopes, Thrown out his angle for my proper life, And with such cozenage—is’t not perfect conscience To quit him with this arm? And is’t not to be damn’d To let this canker of our nature come In further evil?"
Q41,Esperanza Rising,5,"Papa handed Esperanza the knife. The short blade was curved like a scythe, its fat wooden handle fitting snugly in her palm. This job was usually reserved for the eldest son of a wealthy rancher, but since Esperanza was an only child and Papa’s pride and glory, she was always given the honor. Last night she had watched Papa sharpen the knife back and forth across a stone, so she knew the tool was edged like a razor."
Q42,Esperanza Rising,5,"The next day Abuelita’s sisters came for her in a wagon. The nuns, dressed in their black and white habits, gently lifted Abuelita into the back. They pulled a blanket under her chin and Esperanza went to her and held her hand. She remembered the night that Alfonso and Miguel brought Papa home in the wagon. How long ago was that? She knew that it had only been a few weeks, but it seemed like many lifetimes ago."
Q43,Esperanza Rising,5,"She sat up groggily, barely opening her eyes. “What day is this?” she asked. “You’ve been asleep for hours. Wake up! It is Thursday. And we are here in Los Angeles!” “Look, there they are!” said Alfonso, pointing out the window. “My brother, Juan, and Josefina, his wife. And his children, Isabel and the twins. They have all come.” A campesino family waved to them. Juan and Josefina each held a baby about a year old in their arms. It was easy to see that the man was Alfonso’s brother, even though he didn’t have a mustache. Josefina was plump with a round face and a complexion that was fairer than Esperanza’s. She was smiling and waving with her free hand. Next to her stood a girl about eight years old, wearing a dress that was too big and shoes with no socks. Delicate and frail, with big brown eyes, long braids, and skinny legs, she looked like a young deer. Esperanza couldn’t help but think how much she looked like the doll Papa had given her."
Q44,Esperanza Rising,5,"The grapes had to be finished before the first fall rains and had to be picked rápido, quickly, so now there were no Saturdays or Sundays in the week, just workdays. The temperature was still over ninety each day, so as soon as Isabel’s bus left for school, Esperanza took the babies back to the cabin. She fixed their bottles of milk and let them play while she made the beds. Then she followed Hortensia’s instructions for starting dinner before turning to the laundry. She was amazed at the hot, dry air. Often, by the time she had filled the clotheslines that were strung between the trees, she had only minutes to rest before the valley sun dried the clothes crisp and they were ready to fold."
Q45,Esperanza Rising,5,"Esperanza lay in bed that night and listened to the others in the front room talk about the sweeps and the deportations. “They went to every major grower and put hundreds of strikers on the buses,” said Juan. “Some say they did it to create more jobs for those coming from the east,” said Josefina. “We are lucky the company needs us right now. If they didn’t, we could be next.” “We have been loyal to the company and the company will be loyal to us!” said Alfonso. “I’m just glad it’s over,” said Hortensia. “It is not over,” said Miguel. “In time, they will be back, especially if they have families here. They will reorganize and they will be stronger. There will come a time when we will have to decide all over again whether to join them or not.”"
Q56,Twelfth Night,8,"With drinking healths to my niece; I’ll drink to her as long as there is a passage in my throat, and drink in Illyria. He’s a coward and a coystril that will not drink to my niece till his brains turn o’ the toe like a parish top. What, wench! _Castiliano vulgo:_ for here comes Sir Andrew Agueface."
Q57,Twelfth Night,8,"My masters, are you mad? Or what are you? Have you no wit, manners, nor honesty, but to gabble like tinkers at this time of night? Do ye make an ale-house of my lady’s house, that ye squeak out your coziers’ catches without any mitigation or remorse of voice? Is there no respect of place, persons, nor time, in you?"
Q58,Twelfth Night,8,"I have sent after him. He says he’ll come; How shall I feast him? What bestow of him? For youth is bought more oft than begg’d or borrow’d. I speak too loud.— Where’s Malvolio?—He is sad and civil, And suits well for a servant with my fortunes; Where is Malvolio?"
Q59,Twelfth Night,8,"To him in thine own voice, and bring me word how thou find’st him. I would we were well rid of this knavery. If he may be conveniently delivered, I would he were, for I am now so far in offence with my niece that I cannot pursue with any safety this sport to the upshot. Come by and by to my chamber."
Q60,Twelfth Night,8,"Pursue him, and entreat him to a peace: He hath not told us of the captain yet. When that is known, and golden time convents, A solemn combination shall be made Of our dear souls.—Meantime, sweet sister, We will not part from hence.—Cesario, come: For so you shall be while you are a man; But when in other habits you are seen, Orsino’s mistress, and his fancy’s queen."
Q61,A Bad Case of Stripes,2,[Redacted]
Q62,A Bad Case of Stripes,2,[Redacted]
Q63,A Bad Case of Stripes,2,[Redacted]
Q64,A Bad Case of Stripes,2,[Redacted]
Q65,A Bad Case of Stripes,2,[Redacted]
Q66,Wonder,6,"It was a long drive home. I fell asleep in the backseat like I always do, my head on Via’s lap like she was my pillow, a towel wrapped around the seat belt so I wouldn’t drool all over her. Via fell asleep, too, and Mom and Dad talked quietly about grown-up things I didn’t care about. I don’t know how long I was sleeping, but when I woke up, there was a full moon outside the car window. It was a purple night, and we were driving on a highway full of cars. And then I heard Mom and Dad talking about me. “We can’t keep protecting him,” Mom whispered to Dad, who was driving. “We can’t just pretend he’s going to wake up tomorrow and this isn’t going to be his reality, because it is, Nate, and we have to help him learn to deal with it. We can’t just keep avoiding situations that …”"
Q67,Wonder,6,"This year was no different. August really wanted to be a Star Wars character called Boba Fett, so Mom looked for a Boba Fett costume in August’s size, which, strangely enough, was out of stock everywhere. She went to every online store, found a few on eBay that were going for an outrageous amount, and finally ended up buying a Jango Fett costume that she then converted into a Boba Fett costume by painting it green. I would say, in all, she must have spent two weeks working on the stupid costume. And no, I won’t mention the fact that Mom has never made any of my costumes, because it really has no bearing on anything at all. The morning of Halloween I woke up thinking about Grans, which made me really sad and weepy. Dad kept telling me to hurry up and get dressed, which just stressed me out even more, and suddenly I started crying. I just wanted to stay home."
Q68,Wonder,6,"the first time i meet Olivia’s little brother, i have to admit i’m totally taken by surprise. i shouldn’t be, of course. olivia’s told me about his “syndrome.” has even described what he looks like. but she’s also talked about all his surgeries over the years, so i guess i assumed he’d be more normal-looking by now. like when a kid is born with a cleft palate and has plastic surgery to fix it sometimes you can’t even tell except for the little scar above the lip. i guess i thought her brother would have some scars here and there. but not this. i definitely wasn’t expecting to see this little kid in a baseball cap who’s sitting in front of me right now."
Q69,Wonder,6,"One of the things I miss the most about Via’s friendship is her family. I loved her mom and dad. They were always so welcoming and nice to me. I knew they loved their kids more than anything. I always felt safe around them: safer than anywhere else in the world. How pathetic that I felt safer in someone else’s house than in my own, right? And, of course, I loved Auggie. I was never afraid of him: even when I was little. I had friends that couldn’t believe I’d ever go over to Via’s house. “His face creeps me out,” they’d say. “You’re stupid,” I’d tell them. Auggie’s face isn’t so bad once you get used to it."
Q70,Wonder,6,"“He told us there was a fight, but …,” she said, looking at me with her eyebrows raised. “I’m just … phew … I’m just so grateful you and Amos and Jack are fine. When I think about what could have happened …,” she trailed off, flipping the grilled cheese again. “My Montauk hoodie got totally shredded.” “Well, that can be replaced,” she answered. She lifted the grilled cheese onto a plate and put the plate in front of me on the counter. “Milk or white grape juice?” “Chocolate milk, please?” I started devouring the sandwich. “Oh, can you do it that special way you make it, with the froth?” “How did you and Jack end up at the edge of the woods in the first place?” she said, pouring the milk into a tall glass."
Q71,The Hero Two Doors Down,4,"Even without Leo Durocher as their manager, the Dodgers made it all the way to the World Series last season. It was so exciting until they lost to the Yankees in the seventh game. The whole neighborhood still talked about it. Now a new season was about to start. Could they make it back to the championship? “How come the Dodgers chose the Dominican Republic for spring training?” I asked. “The weather’s good and the cost of living is low. Besides, Branch Rickey figured the Caribbean would be open to a team with black and white players. But this will be the last year for that. By next year, the Dodgers will have their own training facility in Vero Beach, Florida.” Branch Rickey was a name I knew for sure. Mr. Rickey was the general manager of the Dodgers. He had signed Jackie Robinson last year. It was the first time an African American player had joined a Major League Baseball team. Jackie was a big part of why the Dodgers had won the National League pennant last season."
Q72,The Hero Two Doors Down,4,"The next day, Sena pulled me aside. “Still mad at me?” she asked. “Not really,” I replied. “Good, because I took some money from my piggy bank so we can stop by the candy store and get milk shakes.” “Sounds good to me,” I said. “I can’t stay long, though.” “Me either,” Sena replied. We walked over to the Jenkins Candy Shoppe in silence. “I wasn’t really mad at you. I was just mad,” I told Sena as we climbed up on leather-covered bar stools and ordered two vanilla shakes."
Q73,The Hero Two Doors Down,4,"Mom and I picked the brightest cherry blossoms off the giant tree in our front yard. It was still too early to drop by the Robinsons, so we sat at the kitchen table and read the Archie comic strip. Mom and her friends liked the love triangle between Archie, Betty, and Veronica. I liked all the crazy things Jughead would do. While we cleaned up the kitchen, Mom chatted on and on about Mrs. Robinson. I could tell she was nervous about meeting a famous woman. “You know, Steve, I admire Mrs. Robinson as much as you do her husband. She’s so elegant and beautiful.” I was a bit surprised that my mother had paid such close attention to Mrs. Robinson. I’d never heard her talk about any of the other Dodgers wives."
Q74,The Hero Two Doors Down,4,"“You need help, Steve?” Sena yelled. “I got it!” I called out without taking my eyes off the rapidly descending ball. My heart pumped faster and faster. Salty sweat stung my eyes. I figured the batter was touching first base and heading toward second. “You won’t get far,” I muttered to myself as I built confidence. The ball was within inches of my hand when I was attacked by a bee. It stung my calf and sent shooting pains up my leg. I tumbled to the ground in agony."
Q75,The Hero Two Doors Down,4,"Up until this very moment, I hadn’t felt connected to the Arab-Israeli War. Now I was. Mom was right—children were innocent victims. They didn’t start wars. I felt sorry that they had to grow up afraid of death. Maybe doing a good deed would make some of the children feel less afraid. “I get it, Mom.” Mom lifted her right hand and settled it on top of mine. “I knew you’d understand, Stephen. You have the heart of a healer.” “What does that mean?” I asked. “It means that you care about others. That’s a good way to be,” Mom said, planting a kiss on my cheek."
Q76,Hatchet,6,"Slightly to the left and below the altimeter he saw a small rectangular panel with a lighted dial and two knobs. His eyes had passed over it two or three times before he saw what was written in tiny letters on top of the panel. TRANSMITTER 221, was stamped in the metal and it hit him, finally, that this was the radio. The radio. Of course. He had to use the radio. When the pilot had—had been hit that way (he couldn't bring himself to say that the pilot was dead, couldn't think it), he had been trying to use the radio. Brian looked to the pilot. The headset was still on his head, turned sideways a bit from his jamming back into the seat, and the microphone switch was clipped into his belt. Brian had to get the headset from the pilot. Had to reach over and get the headset from the pilot or he would not be able to use the radio to call for help. He had to reach over... His hands began trembling again. He did not want to touch the pilot, did not want to reach for him. But he had to. Had to get the radio. He lifted his hands from the wheel, just slightly, and held them waiting to see what would happen. The plane flew on normally, smoothly."
Q77,Hatchet,6,"He raised himself and crawled out of the water, grunting with the pain of movement. His legs were on fire, and his forehead felt as if somebody had been pounding on it with a hammer, but he could move. He pulled his legs out of the lake and crawled on his hands and knees until he was away from the wet-soft shore and near a small stand of brush of some kind. Then he went down, only this time to rest, to save something of himself. He lay on his side and put his head on his arm and closed his eyes because that was all he could do now, all he could think of being able to do. He closed his eyes and slept, dreamless, deep and down."
Q78,Hatchet,6,"The slithering moved again, he thought toward him at first, and terror took him, stopping his breath. He felt he could see a low dark form, a bulk in the darkness, a shadow that lived, but now it moved away, slithering and scraping it moved away and he saw or thought he saw it go out of the door opening. He lay on his side for a moment, then pulled a rasping breath in and held it, listening for the attacker to return. When it was apparent that the shadow wasn't coming back he felt the calf of his leg, where the pain was centered and spreading to fill the whole leg."
Q79,Hatchet,6,"He tried to learn from the mistakes. He couldn't bury food again, couldn't leave it in the shelter, because something like a bear could get at it right away. It had to be high, somehow, high and safe. Above the door to the shelter, up the rock face about ten feet, was a small ledge that could make a natural storage place, unreachable to animals—except that it was unreachable to him as well. A ladder, of course. He needed a ladder. But he had no way to fashion one, nothing to hold the steps on, and that stopped him until he found a dead pine with many small branches still sticking out. Using his hatchet he chopped the branches off so they stuck out four or five inches, all up along the log, then he cut the log off about ten feet long and dragged it down to his shelter. It was a little heavy, but dry and he could manage it, and when he propped it up he found he could climb to the ledge with ease, though the tree did roll from side to side a bit as he climbed."
Q80,Hatchet,6,"He jerked and dragged wood around until the wall was once more in place—crudely, but he could improve it later. He had no trouble finding enough pine boughs to make a new bed. The storm had torn the forest to pieces—up in back of the ridge it looked like a giant had become angry and used some kind of a massive meat grinder on the trees. Huge pines were twisted and snapped off, blown sideways. The ground was so littered, with limbs and tree-tops sticking every which way, that it was hard to get through. He pulled enough thick limbs in for a bed, green and spicy with die new broken sap smell, and by evening he was exhausted, hungry, and hurting, but he had something close to a place to live again, a place to be."
