ID,Last Changed,Author,Title,Anthology,URL,Source,Pub Year,Category,Location,License,"MPAA
Max","MPAA 
#Max","MPAA
#Avg",Excerpt,"Google
WC","Joon
WC v1",British WC,British Words,"Sentence
Count v1","Sentence
Count v2",Paragraphs,BT Easiness,BT s.e.,Flesch-Reading-Ease,Flesch-Kincaid-Grade-Level,Automated Readability Index,SMOG Readability,New Dale-Chall Readability Formula,CAREC,CAREC_M,CARES,CML2RI,firstPlace_pred,secondPlace_pred,thirdPlace_pred,fourthPlace_pred,fifthPlace_pred,sixthPlace_pred,Kaggle split
454,,FLORENCE HOLBROOK,THE STORY OF THE ORIOLE.,THE BOOK OF NATURE MYTHS,http://www.gutenberg.org/files/22420/22420-h/22420-h.htm#Page_86,gutenberg,1902,Lit,start,PD,PG,2,1.5,"The king of the north once said to himself, ""I am master of the country of ice and snow, but what is that if I cannot be ruler of the land of sunshine and flowers? I am no king if I fear the king of the south. The northwind shall bear my icy breath. Bird and beast shall quiver and tremble with cold. I myself will call in the voice of the thunder, and this ruler of the south, his king of summer, shall yield to my power.""
The land of the south was ever bright and sunny, but all at once the sky grew dark, and the sun hid himself in fear. Black storm-clouds came from the north. An icy wind blew over the mountains. It wrestled with the trees of the southland, and even the oaks could not stand against its power. Their roots were tough and strong, but they had to yield, and the fallen trees lay on the earth and wailed in sorrow as the cruel storm-wind and rain beat upon them.",175,179,0,,10,10,2,-1.051905603,0.451917511,91.34,4.94,5.61,0,5.41,0.08885,0.10397,0.393839223,11.80070344,-0.651513114,-0.601800936,-0.63609725,-0.707745107,-0.720705003,-0.7172947,Test
6259,,Edward E. Hale,CHRISTMAS WAITS IN BOSTON,Christmas Eve and Christmas Day,http://www.gutenberg.org/files/32455/32455-h/32455-h.htm,gutenberg,1873,Lit,mid,PD,G,1,1,"Lycidas and I tumbled in on the back seat, each with a child in his lap to keep us warm; I was flanked by Sam Perry, and he by John Rich, both of the mercurial age, and therefore good to do errands. Harry was in front somewhere flanked in likewise, and the twelve other children lay in miscellaneously between, like sardines when you have first opened the box. I had invited Lycidas, because, besides being my best friend, he is the best fellow in the world, and so deserves the best Christmas eve can give him. Under the full moon, on the snow still white, with sixteen children at the happiest, and with the blessed memories of the best the world has ever had, there can be nothing better than two or three such hours.
""First, driver, out on Commonwealth Avenue. That will tone down the horses. Stop on the left after you have passed Fairfield Street."" So we dashed up to the front of Haliburton's palace, where he was keeping his first Christmas tide. And the children, whom Harry had hushed down for a square or two, broke forth with good full voice under his strong lead in",198,202,0,,9,9,2,-1.724902219,0.478164473,74.71,8.33,9.81,9,6.56,0.05335,0.0415,0.465534332,15.63767509,-1.739091735,-1.898558675,-1.8426895,-1.88589605,-1.846341384,-1.8958403,Test
2074,,wikipedia,Geocentric_model,,https://en.wikipedia.org/wiki/Geocentric_model,wikipedia,2020,Info,start,CC BY-SA 3.0,G,1,1,"In astronomy, the Geocentric model (also known as Geocentrism, or the Ptolemaic system) is a superseded description of the universe, where the Earth is at the center of all the celestial bodies. This model served as the predominant cosmological system in many ancient civilizations such as ancient Greece including the noteworthy systems of Aristotle (see Aristotelian physics) and Ptolemy. As such, they believed that the Sun, Moon, stars, and naked eye planets circled Earth.
Two commonly made observations supported the idea that Earth was the center of the Universe. The stars, the sun, and planets appear to revolve around Earth each day, making Earth the center of that system. The stars were thought to be on a celestial sphere, with the Earth at its center, that rotated each day, using a line through the north and south pole as an axis. The stars closest to the equator appeared to rise and fall the greatest distance, but each star circled back to its rising point each day.",165,166,0,,7,7,2,-1.981132405,0.478058932,52.81,11.79,13.07,13,8.62,0.29251,0.29785,0.51379826,11.92952968,-2.022734255,-1.981498849,-2.035722,-2.106190342,-2.015268393,-1.9738433,Train
479,,G. Harvey Ralphson,Boy Scouts in Southern Waters,,http://www.gutenberg.org/files/13859/13859-h/13859-h.htm,gutenberg,1915,Lit,mid,PD,PG,2,1.5,"Four boys were standing in the pilot house of a sturdily built and splendidly equipped motor boat that was being rolled and tossed by the, waves driven from the Gulf of Mexico before a southerly wind. Great banks of fog were rolling inland before the wind--fog so thick it was scarcely possible to see a boat's length ahead.
The boys were all dressed in suits of oil skins under which might have been seen neat khaki Boy Scout Uniforms. If their jackets had been exposed one might have distinguished medals that betokened membership in the Beaver Patrol, Boy Scouts of America. Other insignia indicated to the initiated that the boys had won distinction and were entitled to the honors in Seamanship, Life Saving, Stalking and Signaling. On the jacket of the one addressed as ""Jack"" were insignia that betokened his rank as Scout Master and also as Star Scout. These had been won by sheer merit.
All four were manly young fellows of about seventeen and, though young, their faces gave evidence of alert natures thoroughly reliable and ready for any emergency.",180,187,0,,8,10,3,-1.621394692,0.467809342,61.84,9.69,10.94,12,8.27,0.26267,0.24128,0.576136144,10.6951289,-1.26822464,-1.436256213,-1.2819954,-1.497604851,-1.344796844,-1.4060833,Train
6639,,"Katherine Keene Galt

",The Girl Scout Pioneers or Winning the First B. C.,,http://www.gutenberg.org/cache/epub/5263/pg5263-images.html,gutenberg,1920,Lit,mid,PD,G,1,1,"Then again came that look of determination, and when Dagmar slipped down the stairs she carried the telescope and her crochetted hand bag. Her velvet tarn sat jauntily on those wonderful yellow curls, and her modern cape flew gracefully out, just showing the least fold of her best chiffon blouse. Dagmar wore strickly American clothes, selected in rather good taste, and they attracted much attention in the streets of Flosston.
Once clear of the long brown building, through which spots of light now struck the night, out of those desperate rows and rows of machine-made windows, Dagmar made her way straight to the corner, then turned straight again to another long narrow street, her very steps corresponding to that painful directness of line and plan, common to towns made by mill-owners for their employees. Even the stars, now pricking their way through the blue, seemed to throw down straight lines of light on Flosston; nothing varied the mechanical exactness, and monotonous squares and angles of streets, buildings, and high board fences.",170,171,0,,5,5,2,-1.722229451,0.483324797,51.91,14.61,19.26,13,8.18,0.18959,0.1744,0.502298083,12.18436304,-1.679218334,-1.441451085,-1.4725682,-1.56667137,-1.483666827,-1.5090165,Test
7414,,Thomas G. Frothingham,A Review of the Battle of Jutland,"A Monthly Magazine of The New York Times, Volume 8 - No.2",http://www.gutenberg.org/files/38750/38750-h/38750-h.htm#Page_334,gutenberg,1918,Info,mid,PD,PG,2,2,"At 4:15 there was an attack ""simultaneously"" by British and German destroyers which resulted in a lively fight, but no damage to any of the capital ships. Yet the possibilities of such torpedo attacks were so evident, here and later in the battle, that the destroyer at once attained a greater value as an auxiliary of the battleship. It should also be noted that German submarines were reported present at this stage, but they accomplished nothing against the screened fighting ships. A British airplane had been sent up from a mother ship just before the engagement, though Admiral Beatty reports that it was forced to fly low on account of the clouds, and had a hard task ""to identify four enemy light cruisers."" There was apparently no chance of a wide observation that would have warned Admiral Beatty of the approaching German High Seas Fleet. In this short hour were concentrated many new problems of naval warfare.",157,161,0,,6,6,1,-0.967701693,0.477968274,48.8,12.95,14.21,14,8.35,0.21602,0.22547,0.51988798,10.70481958,-1.308755023,-1.231395875,-1.1820503,-1.066024654,-1.17133838,-1.1546571,Train
3903,,Elbert Hubbard,Little Journeys Vol. 14: Great Musicians,,http://www.online-literature.com/elbert-hubbard/journeys-vol-fourteen/,online-literature,1916,Info,mid,PD,G,1,1,"What Shakespeare is to literature, Michelangelo to sculpture, and Rembrandt to portrait-painting, Johann Sebastian Bach is to organ-music. He was the greatest organist of his time, and his equal has not yet been produced, though nearly three hundred years have passed since his death. ""The organ reached perfection at the hands of Bach,"" says Haweis. As a composer for the organ, Bach stands secure--his position is at the head, and is absolutely unassailable.
In point of temperament and disposition Bach bears a closer resemblance to Michelangelo than to either of the others whose names I have mentioned. He was stern, strong, self-contained, and so deeply religious that he was not only a Christian but a good deal of a pagan as well. A homely man was Bach--quiet, simple in tastes and blunt in speech.
The earnest way in which this plain, unpretentious man focused upon his life-work and raised organ-music to the highest point of art must command the sincere admiration of every lover of honest endeavor.
Bach was so great that he had no artistic jealousy, no whim, and when harshly and unjustly criticized he did not concern himself enough with the quibblers to reply. He made neither apologies nor explanations.",199,208,0,,10,11,4,-1.573385451,0.458018531,58.02,9.89,10.29,11,8.66,0.24904,0.21572,0.620122584,13.75679953,-1.86543826,-1.873939182,-1.7141308,-1.863960123,-1.901953936,-1.8435377,Test
6568,,Jacob Abbott,Rollo in London,,http://www.gutenberg.org/files/24182/24182-h/24182-h.htm,gutenberg,1850,Info,mid,PD,G,1,1,"The city—which was the original London—is the most ancient. It was founded long before the days of the Romans; so long, in fact, that its origin is wholly unknown. Nor is any thing known in respect to the derivation or meaning of the name. In regard to Westminster, the name is known to come from the word minster, which means cathedral—a cathedral church having been built there at a very early period, and which, lying west of London as it did, was called the West Minster. This church passed through a great variety of mutations during the lapse of successive centuries, having grown old, and been rebuilt, and enlarged, and pulled down, and rebuilt again, and altered, times and ways without number. It is represented in the present age by the venerable monumental pile—the burial-place of the ancient kings, and of the most distinguished nobles, generals, and statesmen of the English monarchy—known through all the world as Westminster Abbey.",159,159,0,,6,6,1,-0.965469031,0.558600114,54.45,12.29,14.37,13,9.2,0.28376,0.29145,0.495800406,9.500427924,-1.042736294,-1.043619017,-0.9252928,-0.846153562,-0.896240865,-0.95506704,Train
2577,6.01,"Hagen M. Gegner, Christian R. Voolstra
",A Salty Coral Secret: How High Salinity Helps Corals To Be Stronger,,https://kids.frontiersin.org/article/10.3389/frym.2019.00038,kids.frontiersin,2019,Info,mid,CC BY 4.0,G,1,1,"Corals in the Red Sea have to handle higher temperatures, yet they seem to grow and do just fine. The Red Sea is a very warm sea compared to other places. There, summer temperatures can reach up to 34°C, while other ocean waters may reach around 29–32°C. Interestingly, corals in the Red Sea are not only living in higher temperatures but also in higher salinity, or the amount of salt in water, for example, in seawater. You can find a range of different salinities in the ocean, depending on the region. The Red Sea has some of the highest levels of salt. Salinity is a measure of the amount of salt in the water, and the Red Sea has some of the world's highest salt levels. That is why we started wondering whether salinity could be a piece of the puzzle and the ability to live in high salinity one of the secrets of the strong Red Sea corals?
To answer this and other questions related to coral bleaching, scientists often use a coral model organism, which means an animal that is easier to study than corals but at the same time is very similar to corals. ",196,198,0,,9,9,2,-0.650477293,0.475983275,59.22,10.44,9.71,11,7.21,0.25934,0.23534,0.549805644,20.27007156,-0.504720216,-0.522703049,-0.3501308,-0.458427811,-0.484980599,-0.44314948,Train
3546,,Justice Abe Fortas,Tinker v. Des Moines Independent Community School District: The Majority Opinion,CLD,https://www.commonlit.org/texts/tinker-v-des-moines-independent-community-school-district-the-majority-opinion,commonlit,1969,Info,mid,PD,PG,2,2,"Only a few of the 18,000 students in the school system wore the black armbands. Only five students were suspended for wearing them. There is no indication that the work of the schools or any class was disrupted. Outside the classrooms, a few students made hostile remarks to the children wearing armbands, but there were no threats or acts of violence on school premises.
The District Court concluded that the action of the school authorities was reasonable because it was based upon their fear of a disturbance from the wearing of the armbands. But, in our system, undifferentiated fear or apprehension of disturbance is not enough to overcome the right to freedom of expression. Any departure from absolute regimentation may cause trouble. Any variation from the majority's opinion may inspire fear. Any word spoken, in class, in the lunchroom, or on the campus, that deviates from the views of another person may start an argument or cause a disturbance. ",158,160,0,,9,9,2,0.051495082,0.489764189,59.08,9.41,10.6,12,8.78,0.21032,0.22953,0.440096022,12.15318288,-0.623220683,-0.764738625,-0.6721503,-0.751840374,-0.657378135,-0.6713287,Test
2695,,simple wiki,Secure_Digital_card,,https://simple.wikipedia.org/wiki/Secure_Digital_card,simple.wikipedia,2019,Info,start,CC BY-SA 3.0 and GFDL,G,1,1,"A Secure Digital card (SD card) is a kind of memory card. Such cards are often used to store images or data in digital cameras. As of 2008, different capacities between 4 Megabytes and 32 gigabytes have been made. The card has a rectangular design, but one edge is chipped off. This means that the cards cannot be inserted into the cameras (or other devices) the wrong way.
There are different kinds of cards:
Those labeled SD, with capacities up to 2 GB
Those labeled SDHC, with capacities between 4GB and 32GB
Those labeled SDXC, with capacities of up to 2 TB (largest made is currently 512GB or 200 GB for MicroSD).
SD and SDHC are not compatible, but devices that accept SDHC also accept SD cards. The interface of SDHC and SDXC cards is the same, but SDXC uses a different file system. Some devices (for example the Wii) that originally shipped only with support for SD can be made to support SDHC with a firmware update.",163,169,0,,9,13,6,-1.520401466,0.470073664,70.44,7.61,7.64,11,10.3,0.2474,0.23968,0.469258361,15.03928762,-1.566340615,-1.640721106,-1.5472293,-1.63265577,-1.595665254,-1.6682647,Train
3699,,Booth Tarkington.,ARIEL’S TRIUMPH,The Literary World Seventh Reader,http://www.gutenberg.org/files/19721/19721-h/19721-h.htm,gutenberg,1919,Lit,mid,PD,PG,2,1.5,"She had no powder but found in her grandfather's room a lump of magnesia, which he was in the habit of taking for heartburn, and passed it over and over her brown face and hands. Then a lingering gaze into her small mirror gave her joy at last; she yearned so hard to see herself charming that she did see herself so. Admiration came, and she told herself that she was more attractive to look at than she had ever been in her life, and that, perhaps, at last she might begin to be sought for like other girls. The little glass showed a sort of prettiness in her thin, unmatured young face; tripping dance tunes ran through her head, her feet keeping the time — ah, she did so hope to dance often that night! Perhaps — perhaps she might be asked for every number. And so, wrapping an old waterproof cloak about her, she took her grandfather's arm and sallied forth, with high hopes in her beating heart.",170,172,0,,6,6,1,-0.528146781,0.46978559,70.15,10.43,12.54,10,6.25,0.04704,0.05661,0.401761879,12.44716287,-0.692144576,-0.617531208,-0.5769784,-0.592324967,-0.647158078,-0.56632364,Train
1985,,wikipedia,Data_visualization,,https://en.wikipedia.org/wiki/Data_visualization,wikipedia,2020,Info,start,CC BY-SA 3.0,PG,2,1.5,"Data visualization or data visualization is viewed by many disciplines as a modern equivalent of visual communication. It involves the creation and study of the visual representation of data, meaning ""information that has been abstracted in some schematic form, including attributes or variables for the units of information"".
A primary goal of data visualization is to communicate information clearly and efficiently via statistical graphics, plots and information graphics. Numerical data may be encoded using dots, lines, or bars, to visually communicate a quantitative message. Effective visualization helps users analyze and reason about data and evidence. It makes complex data more accessible, understandable and usable. Users may have particular analytical tasks, such as making comparisons or understanding causality, and the design principle of the graphic (i.e., showing comparisons or showing causality) follows the task. Tables are generally used where users will look up a specific measurement, while charts of various types are used to show patterns or relationships in the data for one or more variables.",164,167,0,,8,8,2,-2.296675509,0.503168128,18.24,15.84,15.55,16,12.03,0.38204,0.36576,0.652663724,7.074772048,-2.201976425,-2.188093525,-2.2121344,-2.308071404,-2.204582975,-2.2822402,Train
2933,,"Edgar Angelats, Eva Martínez-Pinilla, Ainhoa Oñatibia-Astibia, Nuria Franco, Gemma Navarro and Rafael Franco",Humans and Caffeine—A Very Long Relationship,Frontiers for Young Minds,https://kids.frontiersin.org/article/10.3389/frym.2017.00027,kids.frontiersin,2017,Info,mid,CC BY 4.0,G,1,1,"Back in time, humans and any other animal on Earth needed to eat. Food consisted of fruits and cereals, which are rich in carbohydrates. Carbohydrates are our main nutrients still today. As its name says, they are formed basically of Carbon atoms bounded to Hydrogen and also to Oxygen atoms. Glucose is one of the simplest carbohydrates, known and has 6 atoms of Carbon, 12 of Hydrogen, and 6 of Oxygen. Many carbohydrates (glucose, sucrose, lactose, etc.) are sweet, and for this reason they are also known as sugars. The second most important nutrient for early humans was probably protein, and hunting/fishing wild animals was the best way to get protein. Lipids, vitamins and minerals, and other nutrients needed to keep early humans alive were obtained from the vegetable/fruit and animal foods. But there is one thing missing—actually the most important one—water. A relevant point for this article is the way Homo drank water before and after fire discovery. Before fire was discovered, humans obviously had to drink water that was at ""room"" temperature, but after they discovered fire, humans were able to prepare hot drinks.
The ability to heat water probably made eating more enjoyable for early humans.",198,201,0,,13,13,2,-0.954180142,0.468965053,49.71,10.45,10.12,12,8.9,0.20214,0.16244,0.560451568,16.23337169,-0.456584665,-0.760502444,-0.6984739,-0.738027434,-0.70894346,-0.77563184,Train
7044,,Alice Ralston,What the Cat and Hen Did,"Boys and Girls Bookshelf; a Practical Plan of Character Building, Volume I",http://www.gutenberg.org/files/25359/25359-h/25359-h.htm#Page_313,gutenberg,1920,Lit,end,PD,G,1,1,"The children laughed again, and Mollie said: ""Poor Mrs. Tomkins, I would look for a new house if I were you—you do have such meddlesome neighbors! Then she took the hen off, and Mrs. Tomkins picked up one of the kittens. ""Mrs. Tomkins gave a sharp ‘m-i-e-o-u,'
as if to say, ‘what do you think of that?'""
The children's mama was sitting in the library reading when the old cat came in, with a kitten in her mouth. She put it softly down, went out, and soon returned with another. She kept on doing this until she had moved all her family of five kittens. Then she settled herself in a cozy corner, and looked at the lady, and purred in this way: ""If you only knew how much trouble I have had with that bad old hen, you would let me and my children stay here.""
The lady laughed and said: ""I will see what I can do for you.""
Just then the children came in and begged to have the kittens stay. So a new home was made for them in a box in the woodhouse.",184,198,0,,10,10,5,-0.26701251,0.492538065,89.25,4.79,4.27,6,5.91,0.04913,0.05048,0.410843604,24.65029933,-0.164554709,-0.201723098,-0.16514526,-0.21164607,-0.212207873,-0.24990682,Train
